line_id,seq,highway,lng,lat
911702301,30,motorway,123.4594267,41.9512588
911702301,31,motorway,123.4594199,41.9515442
911702301,32,motorway,123.4594342,41.9520753
911702301,33,motorway,123.459478,41.9525483
911702301,34,motorway,123.4595917,41.9532625
911702301,35,motorway,123.459763,41.9541072
911702301,36,motorway,123.4600541,41.9554711
911702301,37,motorway,123.460336,41.9568168
911702301,38,motorway,123.460556,41.9578656
911702301,39,motorway,123.460734,41.9586993
911702301,40,motorway,123.4609001,41.959526
911702301,41,motorway,123.4610114,41.9601065
911702301,42,motorway,123.4611302,41.960776
911702301,43,motorway,123.4611786,41.9610815
916410536,0,trunk,123.4101317,41.7581693
916410536,1,trunk,123.41058,41.7580915
916410536,2,trunk,123.4108761,41.7580464
916410536,3,trunk,123.4111521,41.7580106
916410536,4,trunk,123.4114534,41.7579834
916410536,5,trunk,123.4121287,41.7579182
916410536,6,trunk,123.4136643,41.7577616
916410536,7,trunk,123.4142965,41.7576894
916410536,8,trunk,123.4147013,41.7576362
916410536,9,trunk,123.4150298,41.7575864
916410536,10,trunk,123.4153309,41.7575359
916410536,11,trunk,123.4155599,41.7574879
916410536,12,trunk,123.4158048,41.757434
916410536,13,trunk,123.4160516,41.7573698
916410536,14,trunk,123.41632,41.7572804
916410536,15,trunk,123.4166299,41.7571743
916410536,16,trunk,123.4169199,41.7570497
916410536,17,trunk,123.4171378,41.7569558
916410536,18,trunk,123.4173496,41.7568437
916410536,19,trunk,123.4175851,41.7567181
916410536,20,trunk,123.4178444,41.7565676
916410536,21,trunk,123.4180919,41.7564041
916410536,22,trunk,123.4183372,41.756233
916410537,0,trunk,123.4098124,41.7582427
916410537,1,trunk,123.4101317,41.7581693
916410538,0,trunk,123.4184415,41.7563118
916410538,1,trunk,123.4179502,41.7566426
916410538,2,trunk,123.4176246,41.7568283
916410538,3,trunk,123.4173498,41.7569764
916410538,4,trunk,123.4170339,41.7571271
916410538,5,trunk,123.4167599,41.7572424
916410538,6,trunk,123.4164869,41.7573452
916410538,7,trunk,123.4160729,41.7574834
916410538,8,trunk,123.4158019,41.7575608
916410538,9,trunk,123.4155464,41.7576163
916410538,10,trunk,123.415255,41.7576752
916410538,11,trunk,123.414935,41.7577258
916410538,12,trunk,123.41466,41.7577625
916410538,13,trunk,123.4142399,41.757811
916410538,14,trunk,123.4136648,41.7578683
916410538,15,trunk,123.4131296,41.7579244
916410538,16,trunk,123.4122222,41.7580201
916410538,17,trunk,123.4118201,41.758058
916410538,18,trunk,123.4113008,41.7581132
916410538,19,trunk,123.4108176,41.758172
916410538,20,trunk,123.4104154,41.7582346
916410538,21,trunk,123.4101322,41.7582859
916410539,0,trunk,123.4101322,41.7582859
916410539,1,trunk,123.4098214,41.758359
943433744,0,trunk,123.4428161,41.7433321
943433744,1,trunk,123.4432304,41.7429786
943433744,2,trunk,123.4436976,41.7425566
943433745,0,trunk,123.4437781,41.7428533
943433745,1,trunk,123.4432092,41.7432658
943433745,2,trunk,123.4430048,41.7434433
948394192,0,trunk,123.4499848,41.8236095
948394192,1,trunk,123.4490791,41.8231978
948394193,0,trunk,123.44911,41.8231439
948394193,1,trunk,123.4497821,41.823432
948394193,2,trunk,123.4501011,41.8235681
948394194,0,trunk,123.4613861,41.8327158
948394194,1,trunk,123.4610369,41.8322063
948394195,0,trunk,123.4613181,41.8322963
948394195,1,trunk,123.4614931,41.832664
949558269,0,trunk,123.5174457,41.6496192
949558269,1,trunk,123.5168087,41.6501676
949558269,2,trunk,123.516167,41.6507139
949558270,0,trunk,123.5160058,41.6506403
949558270,1,trunk,123.5172861,41.649552
970508512,0,trunk,123.3893231,41.807584
970508512,1,trunk,123.3924224,41.8058149
970508512,2,trunk,123.3929375,41.8054896
970508512,3,trunk,123.3933,41.805264
970508512,4,trunk,123.3939887,41.8048564
970508513,0,trunk,123.3947103,41.8046598
970508513,1,trunk,123.3940034,41.8050272
970508513,2,trunk,123.3931802,41.8055177
970508513,3,trunk,123.3925253,41.8058936
970508513,4,trunk,123.3894089,41.8077035
970508515,0,trunk,123.4886268,41.8116536
970508515,1,trunk,123.4891527,41.8118411
970508515,2,trunk,123.4898511,41.8121036
970508517,0,trunk,123.4897908,41.8122062
970508517,1,trunk,123.4891045,41.8119031
970508517,2,trunk,123.4885781,41.81171
970508527,0,trunk,123.5356557,41.8148124
970508527,1,trunk,123.536437,41.8150782
970508527,2,trunk,123.5366698,41.8151593
970508757,0,trunk,123.5624614,41.8189391
970508757,1,trunk,123.5616918,41.819077
970508758,0,trunk,123.5616524,41.8189861
970508758,1,trunk,123.5623217,41.8188718
970508758,2,trunk,123.5633106,41.8186894
983608585,0,primary,123.4999694,41.9301971
983608585,1,primary,123.5034962,41.9295858
983608585,2,primary,123.5035766,41.9295719
983608585,3,primary,123.5076788,41.9287918
983608585,4,primary,123.5102529,41.9283085
983608585,5,primary,123.5126253,41.927863
983608586,0,primary,123.5126531,41.9279579
983608586,1,primary,123.5077745,41.9288602
983608586,2,primary,123.507672,41.9288792
983608586,3,primary,123.5042987,41.9295147
983608586,4,primary,123.5018418,41.9299777
983608586,5,primary,123.500459,41.9302081
983608586,6,primary,123.5001298,41.930263
983608586,7,primary,123.4999984,41.9302849
983608587,0,primary,123.4999984,41.9302849
983608587,1,primary,123.499617,41.9303472
983608588,0,primary,123.4995681,41.9302667
983608588,1,primary,123.4999694,41.9301971
987965796,0,primary,123.3873195,41.9418977
987965796,1,primary,123.3874776,41.9419063
987965796,2,primary,123.391064,41.9421591
987965796,3,primary,123.3946919,41.9424234
987965796,4,primary,123.3948094,41.9424319
987965796,5,primary,123.4027353,41.9430766
987965796,6,primary,123.4048682,41.9431876
987965796,7,primary,123.4082873,41.9434814
987965796,8,primary,123.4089325,41.9435289
987965796,9,primary,123.4094811,41.9435692
987965796,10,primary,123.4115557,41.9436803
987965796,11,primary,123.4117683,41.943695
987965796,12,primary,123.4128493,41.9437719
987965796,13,primary,123.4134158,41.9438122
987965796,14,primary,123.4152796,41.944017
987965796,15,primary,123.4182614,41.9442234
987965796,16,primary,123.4183598,41.9442322
987965796,17,primary,123.4219271,41.9445095
987965796,18,primary,123.4229545,41.9445866
987965796,19,primary,123.4257357,41.9447952
987965796,20,primary,123.4258545,41.9448059
987965796,21,primary,123.4317336,41.9452329
987965796,22,primary,123.4318484,41.9452461
987965796,23,primary,123.4318614,41.9452471
987965796,24,primary,123.4367292,41.9456309
987965796,25,primary,123.4382859,41.9457537
987965796,26,primary,123.439387,41.9458743
987965796,27,primary,123.4402798,41.9460216
987965796,28,primary,123.4412516,41.9462104
987965796,29,primary,123.4418613,41.9463321
987965796,30,primary,123.4424783,41.9464843
987965796,31,primary,123.4434912,41.946748
987965796,32,primary,123.4445069,41.9470446
987965796,33,primary,123.4452882,41.9473042
987965796,34,primary,123.446792,41.9477857
987965796,35,primary,123.4468852,41.9478172
987965796,36,primary,123.4592566,41.9519517
987965796,37,primary,123.4593549,41.9519826
987965796,38,primary,123.4622922,41.9529788
991231221,0,primary,123.4050067,41.6116197
991231221,1,primary,123.4063882,41.6162941
991231221,2,primary,123.4073135,41.6194249
991231221,3,primary,123.4074612,41.6198797
991231221,4,primary,123.4095886,41.6269558
991231222,0,primary,123.4095008,41.6269809
991231222,1,primary,123.4074435,41.6202882
991231222,2,primary,123.4073343,41.6199232
991231222,3,primary,123.4071719,41.6194735
991231222,4,primary,123.4062709,41.6163145
991231222,5,primary,123.4049347,41.6116299
991231225,0,primary,123.4095886,41.6269558
991231225,1,primary,123.4099927,41.6282244
991231225,2,primary,123.4102335,41.6287515
991231225,3,primary,123.4114384,41.6309605
991231225,4,primary,123.4122274,41.6324074
991231225,5,primary,123.4123125,41.6325856
991231225,6,primary,123.4123956,41.6327757
991231225,7,primary,123.4124654,41.6329737
991231225,8,primary,123.4125152,41.633147
991231225,9,primary,123.4125551,41.6333139
991231225,10,primary,123.4126087,41.6337982
